Timestamp,Application,EventType,Source
Filtering the log,using,CRASH,log_stream
2026-06-01 21:47:53.270910-0400,(CoreDuet),CRASH,log_stream
2026-06-01 21:47:53.273239-0400,(CoreDuetContext),HANG,log_stream
2026-06-01 21:47:53.315961-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:53.316153-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:53.316028-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:53.316566-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:53.316614-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:53.317016-0400,Excel[24754]:,HANG,log_stream
2026-06-01 21:47:53.315366-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:47:53.317314-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:53.315621-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:47:53.317356-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:53.317515-0400,Settings[25212]:,HANG,log_stream
2026-06-01 21:47:53.315768-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:47:53.317630-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:53.316170-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:47:53.317011-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:47:53.317480-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:47:53.318344-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:53.318446-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:53.318631-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:53.318665-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:53.319076-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:53.319330-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:53.328779-0400,(AppKit),HANG,log_stream
2026-06-01 21:47:53.328995-0400,(AppKit),HANG,log_stream
2026-06-01 21:47:53.329190-0400,(AppKit),HANG,log_stream
2026-06-01 21:47:53.329581-0400,(AppKit),HANG,log_stream
2026-06-01 21:47:53.945607-0400,[com.apple.duetactivityscheduler:lifecycle],HANG,log_stream
2026-06-01 21:47:53.946661-0400,[com.apple.duetactivityscheduler:default],HANG,log_stream
2026-06-01 21:47:54.036911-0400,(WebKit),HANG,log_stream
2026-06-01 21:47:54.145855-0400,(WebKit),HANG,log_stream
2026-06-01 21:47:57.363333-0400,(IO80211),HANG,log_stream
2026-06-01 21:47:57.932621-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:59.413979-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:59.414731-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:47:59.415680-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:01.910634-0400,[com.apple.bluetooth:Server.LE.Scan],HANG,log_stream
2026-06-01 21:48:01.916021-0400,[com.apple.bluetooth:Server.LE.Scan],HANG,log_stream
2026-06-01 21:48:01.938585-0400,[com.apple.bluetooth:Server.LE.Scan],HANG,log_stream
2026-06-01 21:48:01.938758-0400,[com.apple.bluetooth:Server.LE.Scan],HANG,log_stream
2026-06-01 21:48:02.010329-0400,[com.apple.bluetooth:Server.LE.Scan],HANG,log_stream
2026-06-01 21:48:02.013693-0400,[com.apple.bluetooth:Server.LE.Scan],HANG,log_stream
2026-06-01 21:48:02.024566-0400,[com.apple.bluetooth:Server.LE.Scan],HANG,log_stream
2026-06-01 21:48:02.024689-0400,[com.apple.bluetooth:Server.LE.Scan],HANG,log_stream
2026-06-01 21:48:02.380469-0400,(IO80211),HANG,log_stream
2026-06-01 21:48:03.609417-0400,(CoreUtils),HANG,log_stream
2026-06-01 21:48:03.611466-0400,(CoreUtils),HANG,log_stream
2026-06-01 21:48:03.611644-0400,(CoreUtils),HANG,log_stream
2026-06-01 21:48:03.612011-0400,(CMContinuityCaptureCore),HANG,log_stream
2026-06-01 21:48:03.612783-0400,[com.apple.sidecar:rapport],HANG,log_stream
2026-06-01 21:48:03.616165-0400,(CMContinuityCaptureCore),HANG,log_stream
2026-06-01 21:48:03.616318-0400,(CMContinuityCaptureCore),HANG,log_stream
2026-06-01 21:48:07.407582-0400,(IO80211),HANG,log_stream
2026-06-01 21:48:07.583007-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:48:07.586000-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:08.398705-0400,(CoreUtils),HANG,log_stream
2026-06-01 21:48:08.399228-0400,(CoreUtils),HANG,log_stream
2026-06-01 21:48:08.399267-0400,(CoreUtils),HANG,log_stream
2026-06-01 21:48:09.281460-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:48:09.289949-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:09.640730-0400,(WebKit),HANG,log_stream
2026-06-01 21:48:09.748967-0400,(WebKit),HANG,log_stream
2026-06-01 21:48:12.428202-0400,(IO80211),HANG,log_stream
2026-06-01 21:48:13.575080-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.574983-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:48:13.574974-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.576848-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.576655-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:48:13.576687-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.578464-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.578415-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.578365-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:48:13.578577-0400,Excel[24754]:,HANG,log_stream
2026-06-01 21:48:13.580144-0400,Settings[25212]:,HANG,log_stream
2026-06-01 21:48:13.580020-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:48:13.581502-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.580315-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.580254-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.581381-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:48:13.581588-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.613085-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:48:13.613191-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.670019-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.679122-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.692836-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.692636-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:48:13.693038-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.693572-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.879185-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.879198-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.911166-0400,(WebKit),HANG,log_stream
2026-06-01 21:48:13.913023-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:48:13.913192-0400,Excel[24754]:,HANG,log_stream
2026-06-01 21:48:13.913232-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:13.913257-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.017381-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:48:14.017617-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.017873-0400,Excel[24754]:,HANG,log_stream
2026-06-01 21:48:14.017633-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.547922-0400,[com.apple.windowmanagement:windowserverconnection],HANG,log_stream
2026-06-01 21:48:14.560611-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:48:14.560268-0400,[com.apple.bluetooth:Server.Core],HANG,log_stream
2026-06-01 21:48:14.564265-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.561633-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.562748-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.570793-0400,(WebKit),HANG,log_stream
2026-06-01 21:48:14.571230-0400,(WebKit),HANG,log_stream
2026-06-01 21:48:14.571243-0400,(WebKit),HANG,log_stream
2026-06-01 21:48:14.568203-0400,(CloudKit),HANG,log_stream
2026-06-01 21:48:14.568288-0400,(CloudKit),HANG,log_stream
2026-06-01 21:48:14.575270-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.570913-0400,[com.apple.unc:display],HANG,log_stream
2026-06-01 21:48:14.575108-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.567732-0400,(iCloudQuotaUI),HANG,log_stream
2026-06-01 21:48:14.568765-0400,(CloudKit),HANG,log_stream
2026-06-01 21:48:14.562418-0400,[com.apple.bluetooth:Server.Audio],HANG,log_stream
2026-06-01 21:48:14.575073-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.568908-0400,(CloudKit),HANG,log_stream
2026-06-01 21:48:14.568933-0400,(CloudKit),HANG,log_stream
2026-06-01 21:48:14.574748-0400,(CloudKit),HANG,log_stream
2026-06-01 21:48:14.579843-0400,(WebKit),HANG,log_stream
2026-06-01 21:48:14.579904-0400,(WebCore),HANG,log_stream
2026-06-01 21:48:14.575318-0400,(SyncedDefaults),HANG,log_stream
2026-06-01 21:48:14.578540-0400,(SyncedDefaults),HANG,log_stream
2026-06-01 21:48:14.580800-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.581897-0400,[com.apple.windowmanagement:model],HANG,log_stream
2026-06-01 21:48:14.587394-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.587290-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:48:14.587848-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.587948-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.587902-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.602237-0400,(CoreDuetContext),HANG,log_stream
2026-06-01 21:48:14.603565-0400,(CoreDuetContext),HANG,log_stream
2026-06-01 21:48:14.606493-0400,(CoreDuetContext),HANG,log_stream
2026-06-01 21:48:14.609654-0400,(CoreDuet),CRASH,log_stream
2026-06-01 21:48:14.609812-0400,(CoreDuet),CRASH,log_stream
2026-06-01 21:48:14.611149-0400,(CoreDuetContext),HANG,log_stream
2026-06-01 21:48:14.613068-0400,(CoreDuetContext),HANG,log_stream
2026-06-01 21:48:14.660888-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:48:14.661075-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:48:14.661262-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:48:14.661448-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.661255-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.661655-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.662887-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.664001-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.664295-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.664675-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:14.672207-0400,(AppKit),HANG,log_stream
2026-06-01 21:48:14.672347-0400,(AppKit),HANG,log_stream
2026-06-01 21:48:14.672385-0400,(AppKit),HANG,log_stream
2026-06-01 21:48:14.672735-0400,(AppKit),HANG,log_stream
2026-06-01 21:48:15.678386-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:15.678325-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:15.678441-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:16.036735-0400,[com.apple.bluetooth:Server.Core],HANG,log_stream
2026-06-01 21:48:16.036799-0400,[com.apple.bluetooth:Server.Audio],HANG,log_stream
2026-06-01 21:48:16.038779-0400,[com.apple.windowmanagement:model],HANG,log_stream
2026-06-01 21:48:16.044028-0400,[com.apple.windowmanagement:windowserverconnection],HANG,log_stream
2026-06-01 21:48:16.037198-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:48:16.046126-0400,(RunningBoard),HANG,log_stream
2026-06-01 21:48:16.045723-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:16.046249-0400,(RunningBoardServices),HANG,log_stream
2026-06-01 21:48:16.046880-0400,(RunningBoardServices),HANG,log_stream
